image&nbsp;&nbsp;&nbsp;	name&nbsp;	pass&nbsp;&nbsp;&nbsp;	fail&nbsp;&nbsp;&nbsp;	errors&nbsp;&nbsp;&nbsp;	skipped&nbsp;&nbsp;&nbsp;	avg time&nbsp;	fail msg&nbsp;
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestLFUCache#testTimeNoDecay	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.facet.TestJsonFacets#testDomainGraph	144	0	 0	0	.15	
<img src="images/failed.png" height="14" width="14">	org.apache.solr.search.facet.RangeFacetCloudTest#testInclude_EdgeLowerUpper	22	2	 0	0	.46	q=*:*&rows=0&json.facet={+foo:{+type:range,+field:range_i+start:1,+end:4,+gap:1,+other:[all],+include:'edge,lower,upper'+}+}&_stateVer_=org.apache.solr.search.facet.RangeFacetCloudTest:4 -> {responseHeader={zkConnected=true,status=0,QTime=3,params={q=*:*,json.facet={ foo:{ type:range, field:range_i start:1, end:4, gap:1, other:[all], include:'edge,lower,upper' } },_stateVer_=org.apache.solr.search.facet.RangeFacetCloudTest:4,rows=0,wt=javabin,version=2}},response={numFound=1053,start=0,maxScore=1.0,docs=[]},facets={count=1053,foo={buckets=[{val=1,count=340}, {val=2,count=346}, {val=3,count=352}],before={count=185},after={count=176},between={count=692}}}} ===> bucket#0: count expected:<680> but was:<340><br/><br/>java.lang.AssertionError: q=*:*&rows=0&json.facet={+foo:{+type:range,+field:range_i+start:1,+end:4,+gap:1,+other:[all],+include:'edge,lower,upper'+}+}&_stateVer_=org.apache.solr.search.facet.RangeFacetCloudTest:4 -> {responseHeader={zkConnected=true,status=0,QTime=3,params={q=*:*,json.facet={ foo:{ type:range, field:range_i start:1, end:4, gap:1, other:[all], include:'edge,lower,upper' } },_stateVer_=org.apache.solr.search.facet.RangeFacetCloudTest:4,rows=0,wt=javabin,version=2}},response={numFound=1053,start=0,maxScore=1.0,docs=[]},facets={count=1053,foo={buckets=[{val=1,count=340}, {val=2,count=346}, {val=3,count=352}],before={count=185},after={count=176},between={count=692}}}} ===> bucket#0: count expected:<680> but was:<340><br/>&nbsp; &nbsp;at __randomizedtesting.SeedInfo.seed([D1E7B49CA6A73D9D:9E3F81E46F233C1F]:0)<br/>&nbsp; &nbsp;at org.apache.solr.search.facet.RangeFacetCloudTest.testInclude_EdgeLowerUpper(RangeFacetCloudTest.java:404)<br/>&nbsp; &nbsp;at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)<br/>&nbsp; &nbsp;at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)<br/>&nbsp; &nbsp;at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)<br/>&nbsp; &nbsp;at java.lang.reflect.Method.invoke(Method.java:498)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.RandomizedRunner.invoke(RandomizedRunner.java:1742)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.RandomizedRunner$8.evaluate(RandomizedRunner.java:935)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.RandomizedRunner$9.evaluate(RandomizedRunner.java:971)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.RandomizedRunner$10.evaluate(RandomizedRunner.java:985)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.SystemPropertiesRestoreRule$1.evaluate(SystemPropertiesRestoreRule.java:57)<br/>&nbsp; &nbsp;at org.apache.lucene.util.TestRuleSetupTeardownChained$1.evaluate(TestRuleSetupTeardownChained.java:49)<br/>&nbsp; &nbsp;at org.apache.lucene.util.AbstractBeforeAfterRule$1.evaluate(AbstractBeforeAfterRule.java:45)<br/>&nbsp; &nbsp;at org.apache.lucene.util.TestRuleThreadAndTestName$1.evaluate(TestRuleThreadAndTestName.java:48)<br/>&nbsp; &nbsp;at org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures$1.evaluate(TestRuleIgnoreAfterMaxFailures.java:64)<br/>&nbsp; &nbsp;at org.apache.lucene.util.TestRuleMarkFailure$1.evaluate(TestRuleMarkFailure.java:47)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.StatementAdapter.evaluate(StatementAdapter.java:36)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.ThreadLeakControl$StatementRunner.run(ThreadLeakControl.java:368)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.ThreadLeakControl.forkTimeoutingTask(ThreadLeakControl.java:817)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.ThreadLeakControl$3.evaluate(ThreadLeakControl.java:468)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.RandomizedRunner.runSingleTest(RandomizedRunner.java:944)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.RandomizedRunner$5.evaluate(RandomizedRunner.java:830)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.RandomizedRunner$6.evaluate(RandomizedRunner.java:880)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.RandomizedRunner$7.evaluate(RandomizedRunner.java:891)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.StatementAdapter.evaluate(StatementAdapter.java:36)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.SystemPropertiesRestoreRule$1.evaluate(SystemPropertiesRestoreRule.java:57)<br/>&nbsp; &nbsp;at org.apache.lucene.util.AbstractBeforeAfterRule$1.evaluate(AbstractBeforeAfterRule.java:45)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.StatementAdapter.evaluate(StatementAdapter.java:36)<br/>&nbsp; &nbsp;at org.apache.lucene.util.TestRuleStoreClassName$1.evaluate(TestRuleStoreClassName.java:41)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.NoShadowingOrOverridesOnMethodsRule$1.evaluate(NoShadowingOrOverridesOnMethodsRule.java:40)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.NoShadowingOrOverridesOnMethodsRule$1.evaluate(NoShadowingOrOverridesOnMethodsRule.java:40)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.StatementAdapter.evaluate(StatementAdapter.java:36)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.StatementAdapter.evaluate(StatementAdapter.java:36)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.StatementAdapter.evaluate(StatementAdapter.java:36)<br/>&nbsp; &nbsp;at org.apache.lucene.util.TestRuleAssertionsRequired$1.evaluate(TestRuleAssertionsRequired.java:53)<br/>&nbsp; &nbsp;at org.apache.lucene.util.TestRuleMarkFailure$1.evaluate(TestRuleMarkFailure.java:47)<br/>&nbsp; &nbsp;at org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures$1.evaluate(TestRuleIgnoreAfterMaxFailures.java:64)<br/>&nbsp; &nbsp;at org.apache.lucene.util.TestRuleIgnoreTestSuites$1.evaluate(TestRuleIgnoreTestSuites.java:54)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.StatementAdapter.evaluate(StatementAdapter.java:36)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.ThreadLeakControl$StatementRunner.run(ThreadLeakControl.java:368)<br/>&nbsp; &nbsp;at java.lang.Thread.run(Thread.java:748)<br/>Caused by: java.lang.AssertionError: bucket#0: count expected:<680> but was:<340><br/>&nbsp; &nbsp;at org.apache.solr.search.facet.RangeFacetCloudTest.assertBucket(RangeFacetCloudTest.java:637)<br/>&nbsp; &nbsp;at org.apache.solr.search.facet.RangeFacetCloudTest.testInclude_EdgeLowerUpper(RangeFacetCloudTest.java:397)<br/>&nbsp; &nbsp;... 39 more<br/>Caused by: java.lang.AssertionError: count expected:<680> but was:<340><br/>&nbsp; &nbsp;at org.junit.Assert.fail(Assert.java:93)<br/>&nbsp; &nbsp;at org.junit.Assert.failNotEquals(Assert.java:647)<br/>&nbsp; &nbsp;at org.junit.Assert.assertEquals(Assert.java:128)<br/>&nbsp; &nbsp;at org.junit.Assert.assertEquals(Assert.java:472)<br/>&nbsp; &nbsp;at org.apache.solr.search.facet.RangeFacetCloudTest.assertEqualsHACK(RangeFacetCloudTest.java:783)<br/>&nbsp; &nbsp;at org.apache.solr.search.facet.RangeFacetCloudTest.assertBucket(RangeFacetCloudTest.java:607)<br/>&nbsp; &nbsp;... 40 more<br/>
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.join.BJQParserTest#testScoresForChild	24	0	 0	0	.03	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.json.TestJsonRequest#testLocalJsonRequest	24	0	 0	0	.21	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestDocSet#testFilter	24	0	 0	0	.18	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testFuncRord	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.join.TestNestedDocsSort#testCachehits	24	0	 0	0	.02	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.facet.TestJsonFacetsWithNestedObjects#testDomainFilterExclusionsInFilters	24	0	 0	0	.04	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.join.BJQParserTest#testFull	24	0	 0	0	.03	
